Square_Footage,House_Price
1360,262382.8522740563
4272,985260.854490162
3592,777977.3901185812
966,229698.9186636115
4926,1041740.8589249004
3944,879796.9835223783
3671,814427.8614089885
3419,703413.1109446795
630,173875.03721558454
2185,504176.5060593679
1269,335332.59275293903
2891,635097.3959198
2933,701133.8041471172
1684,440726.2848162878
3885,838719.430503504
4617,1019192.6613592046
3404,735850.8123421574
974,234261.64997473895
1582,396246.3588887452
3058,672852.0519810001
2547,586086.5685389101
3247,740174.0146550778
1475,370167.09090271546
2306,530824.1967752124
689,227515.3002879812
3234,652166.1423658864
3505,745670.6371477235
2399,513161.95119306416
1767,432357.9061027443
2028,434165.89663405064
3702,809686.201143527
4056,883819.0911218557
4390,912468.0479046734
1146,281313.0614448485
3388,705923.3148916194
2935,656980.4604282172
1100,318266.2771320871
2863,582468.7977365239
2561,541967.633559251
741,188531.4234571063
2541,565562.7504321395
3324,697574.5556670319
3112,666733.4734616925
1863,376388.0216286443
1978,485380.95019563066
3056,735678.4622017285
1275,296291.0010075069
4514,1046315.8960136625
534,187508.58531168045
3652,793995.2848757812
2455,527393.5128875901
2085,467768.122943975
4443,981190.782911222
3573,750481.7169351575
1521,377511.26849809097
3961,866877.3524150968
3113,731331.6610567131
4343,899382.8651584806
2000,485622.401919989
661,147601.55157708153
4797,986006.861736761
2481,509725.550655089
1495,346932.6209008944
3842,863289.3969030941
4298,919295.8540615214
1775,406069.2709127523
1516,397346.1108776756
837,191117.1012230497
1378,384461.3548261602
1576,340980.72481778456
4493,951093.5469938468
879,217010.48526715024
992,248224.0196560961
2562,538349.0962151848
4384,985223.9966541852
564,242865.9315016322
3068,654466.9454086807
2527,551967.8882668803
3195,663904.9927177994
1995,397482.74798703607
891,209632.84147750464
4974,1107045.062935083
4061,787420.4040749857
2778,605371.7047170609
3599,721018.0639031393
700,199066.37891066872
3604,730047.4973881331
2954,627923.6171994702
4145,898283.8867356428
1304,277832.10571177263
3231,731490.1175330897
3273,688357.648480334
2070,525582.3102214569
3190,684824.5348634415
4340,903251.9405609448
1528,323118.7393152309
1002,307101.6858385633
4993,1020324.7565966452
1370,304730.506229004
4988,1026397.296612232
706,199414.94263280893
1984,472657.61431723344
1363,340069.229775934
3290,696709.415289048
1063,266533.05392411625
4691,971514.7620428528
2257,501305.5489940659
2178,480961.44203831744
3742,758977.8818675748
1559,364658.5286208398
2222,515813.7578353911
3814,834587.5117736553
3657,747384.0608082061
3125,667696.0449735246
3229,645145.5398468642
2097,481368.1255215702
3560,740148.1937768575
3193,639073.1842415399
4127,886568.3132277146
1863,450941.1354372639
2481,513720.44181706064
2163,521205.600976709
2029,455122.09995894955
2538,551463.8888534079
3802,816173.7524264855
2737,637736.0103999889
1806,420203.4615575062
4529,1026790.0663279732
3175,744681.397063456
1782,400585.46235503367
1209,368327.4567183169
4913,977158.5923179968
4248,883626.6203857235
1163,244030.4071335913
2498,558598.6787614333
3945,860329.4923109863
4243,947490.777477816
1995,492018.32279508375
3804,832386.3311958439
4263,893926.6294720689
2353,534464.9120087984
1791,355281.41848528635
4081,834105.7943401121
3957,885550.3826256534
2136,551859.0856947603
4196,922420.588370604
3499,804433.8093218554
3652,734985.0630470021
1198,346152.8475921306
2660,649973.3618681368
4597,1006939.6644174114
1354,370260.6031667921
3974,928059.7129533672
2207,492112.0397149675
3277,752466.6746666236
2233,573797.9393068494
4010,854876.2983739193
702,183663.6464573192
3755,788150.9318106314
4718,981510.89525884
4996,1070454.2752476104
1266,241968.8432665446
4889,1064004.872579212
2827,640767.2241513439
3431,762159.3914733424
697,216591.97111921213
2430,497168.0883454792
4082,857205.2452653883
1108,285546.501684919
3772,819125.6470544274
1647,316130.2555576059
4782,1067425.216621323
3897,837398.565143556
3011,658260.7060110456
2294,475767.3504503976
1159,250101.5473305484
3311,688516.5046690886
1869,510876.9990932239
2486,543734.421890143
646,146406.89625235138
3719,828512.1019589091
3411,719969.4352945103
2234,507847.5873391123
2343,507554.9440535184
988,294558.07202157495
3476,712212.2154102818
2459,491715.9476636626
2885,625227.045470116
3419,752101.9024207598
2302,501913.64710804133
4561,907358.632995708
3869,878704.0956397129
762,237070.7057045996
1123,267132.4135848208
1516,353129.5684734057
4143,845141.6166638864
2549,656223.1627305328
4223,884677.6890798345
3608,775773.2237663032
4590,918893.7439235622
2556,607698.7371081988
3670,838774.4840391098
2182,470978.4795328964
2755,616308.9624199027
1654,417416.2622542783
4999,1060976.488572305
3691,809046.2841762663
2196,485376.42332357954
4491,965816.66811073
2148,517515.4060050993
1945,438250.1761546225
4699,1008240.7854354944
4423,888140.07598706
753,252963.35620761316
3683,801206.2036701888
3057,624112.1600204634
598,155471.16626013073
2700,617900.4948407207
3461,798362.7750475319
4933,1096158.2899088082
4277,927092.4059599084
3369,728289.8873118911
3734,785248.3619879358
4291,862580.4983858576
1456,297387.92248393584
4567,938151.8372450712
660,203447.4833684562
4993,1038319.1650899692
1800,443408.30597782374
4487,971977.0246414564
2027,539478.4031506823
1718,424712.5512524802
4996,1102533.6490590929
3604,740286.5597469498
3235,655719.1459405582
1454,402213.42189319455
3946,779202.6809723858
1545,338170.31528112484
2193,497340.9981159924
3936,815811.6827370644
1062,250362.35906874528
2985,717150.4421296231
3854,811129.4971755756
725,165242.29785174478
1459,370992.4565584571
3567,779362.3561113286
1315,308618.40727220185
3620,861356.9775590366
516,171023.95659837997
1743,381738.0175438035
